[2024-12-23T05:38:17.229+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-23T05:38:17.253+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.266+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.268+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-23T05:38:17.290+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-23 05:38:15.253727+00:00
[2024-12-23T05:38:17.299+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=50134) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-23T05:45:57.224+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:46:02.225+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-25 to 2023-03-26 for RS...
[2024-12-23T05:46:07.532+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:46:12.534+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-26 to 2023-03-27 for RS...
[2024-12-23T05:46:15.319+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:46:20.320+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-27 to 2023-03-28 for RS...
[2024-12-23T05:46:24.090+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:46:29.090+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-28 to 2023-03-29 for RS...
[2024-12-23T05:46:32.320+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:46:37.321+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-29 to 2023-03-30 for RS...
[2024-12-23T05:46:41.217+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:51:46.198+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-30 to 2023-03-31 for RS...
[2024-12-23T05:51:49.715+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:51:54.717+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-31 to 2023-04-01 for RS...
[2024-12-23T05:51:57.599+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:02.601+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-01 to 2023-04-02 for RS...
[2024-12-23T05:52:05.791+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:10.792+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-02 to 2023-04-03 for RS...
[2024-12-23T05:52:13.741+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:18.742+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-03 to 2023-04-04 for RS...
[2024-12-23T05:52:21.503+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:26.503+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-04 to 2023-04-05 for RS...
[2024-12-23T05:52:29.639+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:34.641+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-05 to 2023-04-06 for RS...
[2024-12-23T05:52:38.024+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:43.025+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-06 to 2023-04-07 for RS...
[2024-12-23T05:52:45.838+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:50.840+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-07 to 2023-04-08 for RS...
[2024-12-23T05:52:53.815+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:52:58.815+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-08 to 2023-04-09 for RS...
[2024-12-23T05:53:01.658+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:53:06.659+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-09 to 2023-04-10 for RS...
[2024-12-23T05:53:09.670+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:53:14.672+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-10 to 2023-04-11 for RS...
[2024-12-23T05:53:17.572+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:53:22.573+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-11 to 2023-04-12 for RS...
[2024-12-23T05:53:25.539+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:53:30.541+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-12 to 2023-04-13 for RS...
[2024-12-23T05:53:33.231+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:53:38.232+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-13 to 2023-04-14 for RS...
[2024-12-23T05:53:41.338+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:53:46.339+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-14 to 2023-04-15 for RS...
[2024-12-23T05:53:49.465+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:53:54.466+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-15 to 2023-04-16 for RS...
[2024-12-23T05:53:57.936+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:54:02.937+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-16 to 2023-04-17 for RS...
[2024-12-23T05:54:05.768+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:54:10.770+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-17 to 2023-04-18 for RS...
[2024-12-23T05:54:13.521+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:54:18.522+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-18 to 2023-04-19 for RS...
[2024-12-23T05:54:21.452+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:54:26.451+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-19 to 2023-04-20 for RS...
